5.0072 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.4881 	EXP 	grating: autoDraw = False
63.6237 	DATA 	Keypress: right
63.6258 	EXP 	window1: recordFrameIntervals = False
63.6388 	EXP 	fixation: autoDraw = False
63.6388 	EXP 	grating: autoDraw = False
63.6389 	EXP 	window1: recordFrameIntervals = False
64.6181 	EXP 	fixation: autoDraw = True
65.6273 	EXP 	fixation: autoDraw = False
65.6273 	EXP 	grating: autoDraw = True
65.6273 	EXP 	grating: tex = 'sin'
65.9280 	EXP 	grating: autoDraw = False
66.0635 	DATA 	Keypress: right
66.0655 	EXP 	window1: recordFrameIntervals = False
66.0783 	EXP 	fixation: autoDraw = False
66.0783 	EXP 	grating: autoDraw = False
66.0785 	EXP 	window1: recordFrameIntervals = False
67.0574 	EXP 	fixation: autoDraw = True
68.0671 	EXP 	fixation: autoDraw = False
68.0671 	EXP 	grating: autoDraw = True
68.0671 	EXP 	grating: tex = 'sin'
68.3677 	EXP 	grating: autoDraw = False
68.5033 	DATA 	Keypress: right
68.5053 	EXP 	window1: recordFrameIntervals = False
68.5184 	EXP 	fixation: autoDraw = False
68.5184 	EXP 	grating: autoDraw = False
68.5186 	EXP 	window1: recordFrameIntervals = False
69.4980 	EXP 	fixation: autoDraw = True
70.5070 	EXP 	fixation: autoDraw = False
70.5070 	EXP 	grating: autoDraw = True
70.5070 	EXP 	grating: tex = 'sin'
70.8077 	EXP 	grating: autoDraw = False
70.8760 	DATA 	Keypress: left
70.8778 	EXP 	window1: recordFrameIntervals = False
70.8912 	EXP 	fixation: autoDraw = False
70.8912 	EXP 	grating: autoDraw = False
70.8914 	EXP 	window1: recordFrameIntervals = False
71.8709 	EXP 	fixation: autoDraw = True
72.8800 	EXP 	fixation: autoDraw = False
72.8800 	EXP 	grating: autoDraw = True
72.8800 	EXP 	grating: tex = 'sin'
73.1809 	EXP 	grating: autoDraw = False
73.2495 	DATA 	Keypress: left
73.2516 	EXP 	window1: recordFrameIntervals = False
73.2643 	EXP 	fixation: autoDraw = False
73.2643 	EXP 	grating: autoDraw = False
73.2645 	EXP 	window1: recordFrameIntervals = False
74.2444 	EXP 	fixation: autoDraw = True
